#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.169473978346 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.3880000000     -5.94639549      0.1316116619E-01
  -0.3879000000     -5.94367435      0.1408430650E-01
  -0.3878000000     -5.94095321      0.1497449976E-01
  -0.3877000000     -5.93823207      0.1583105377E-01
  -0.3876000000     -5.93551094      0.1665394633E-01
  -0.3875000000     -5.93278980      0.1744364477E-01
  -0.3874000000     -5.93006866      0.1820096858E-01
  -0.3873000000     -5.92734752      0.1892698488E-01
  -0.3872000000     -5.92462638      0.1962292895E-01
  -0.3871000000     -5.92190524      0.2029014397E-01
  -0.3870000000     -5.91918411      0.2093003554E-01
  -0.3869000000     -5.91646297      0.2154403740E-01
  -0.3868000000     -5.91374183      0.2213358606E-01
  -0.3867000000     -5.91102069      0.2270010192E-01
  -0.3866000000     -5.90829955      0.2324497575E-01
  -0.3865000000     -5.90557841      0.2376955899E-01
  -0.3864000000     -5.90285727      0.2427515718E-01
  -0.3863000000     -5.90013614      0.2476302569E-01
  -0.3862000000     -5.89741500      0.2523436722E-01
  -0.3861000000     -5.89469386      0.2569033066E-01
  -0.3860000000     -5.89197272      0.2613201094E-01
  -0.3859000000     -5.88925158      0.2656044962E-01
  -0.3858000000     -5.88653044      0.2697663606E-01
  -0.3857000000     -5.88380931      0.2738150894E-01
  -0.3856000000     -5.88108817      0.2777595807E-01
  -0.3855000000     -5.87836703      0.2816082635E-01
  -0.3854000000     -5.87564589      0.2853691183E-01
  -0.3853000000     -5.87292475      0.2890496985E-01
  -0.3852000000     -5.87020361      0.2926571516E-01
  -0.3851000000     -5.86748248      0.2961982401E-01
  -0.3850000000     -5.86476134      0.2996793617E-01
  -0.3849000000     -5.86204020      0.3031065694E-01
  -0.3848000000     -5.85931906      0.3064855906E-01
  -0.3847000000     -5.85659792      0.3098218447E-01
  -0.3846000000     -5.85387678      0.3131204610E-01
  -0.3845000000     -5.85115565      0.3163862944E-01
  -0.3844000000     -5.84843451      0.3196239415E-01
  -0.3843000000     -5.84571337      0.3228377542E-01
  -0.3842000000     -5.84299223      0.3260318541E-01
  -0.3841000000     -5.84027109      0.3292101445E-01
  -0.3840000000     -5.83754995      0.3323763223E-01
  -0.3839000000     -5.83482881      0.3355338893E-01
  -0.3838000000     -5.83210768      0.3386861619E-01
  -0.3837000000     -5.82938654      0.3418362806E-01
  -0.3836000000     -5.82666540      0.3449872185E-01
  -0.3835000000     -5.82394426      0.3481417895E-01
  -0.3834000000     -5.82122312      0.3513026550E-01
  -0.3833000000     -5.81850198      0.3544723309E-01
  -0.3832000000     -5.81578085      0.3576531932E-01
  -0.3831000000     -5.81305971      0.3608474836E-01
  -0.3830000000     -5.81033857      0.3640573139E-01
  -0.3829000000     -5.80761743      0.3672846704E-01
  -0.3828000000     -5.80489629      0.3705314177E-01
  -0.3827000000     -5.80217515      0.3737993016E-01
  -0.3826000000     -5.79945402      0.3770899520E-01
  -0.3825000000     -5.79673288      0.3804048848E-01
  -0.3824000000     -5.79401174      0.3837455041E-01
  -0.3823000000     -5.79129060      0.3871131033E-01
  -0.3822000000     -5.78856946      0.3905088660E-01
  -0.3821000000     -5.78584832      0.3939338665E-01
  -0.3820000000     -5.78312719      0.3973890700E-01
  -0.3819000000     -5.78040605      0.4008753326E-01
  -0.3818000000     -5.77768491      0.4043934004E-01
  -0.3817000000     -5.77496377      0.4079439085E-01
  -0.3816000000     -5.77224263      0.4115273800E-01
  -0.3815000000     -5.76952149      0.4151442246E-01
  -0.3814000000     -5.76680035      0.4187947360E-01
  -0.3813000000     -5.76407922      0.4224790906E-01
  -0.3812000000     -5.76135808      0.4261973446E-01
  -0.3811000000     -5.75863694      0.4299494312E-01
  -0.3810000000     -5.75591580      0.4337351582E-01
  -0.3809000000     -5.75319466      0.4375542042E-01
  -0.3808000000     -5.75047352      0.4414061160E-01
  -0.3807000000     -5.74775239      0.4452903045E-01
  -0.3806000000     -5.74503125      0.4492060411E-01
  -0.3805000000     -5.74231011      0.4531524545E-01
  -0.3804000000     -5.73958897      0.4571285258E-01
  -0.3803000000     -5.73686783      0.4611330857E-01
  -0.3802000000     -5.73414669      0.4651648095E-01
  -0.3801000000     -5.73142556      0.4692222138E-01
  -0.3800000000     -5.72870442      0.4733036520E-01
  -0.3799000000     -5.72598328      0.4774073110E-01
  -0.3798000000     -5.72326214      0.4815312070E-01
  -0.3797000000     -5.72054100      0.4856731819E-01
  -0.3796000000     -5.71781986      0.4898309002E-01
  -0.3795000000     -5.71509873      0.4940018458E-01
  -0.3794000000     -5.71237759      0.4981833190E-01
  -0.3793000000     -5.70965645      0.5023724344E-01
  -0.3792000000     -5.70693531      0.5065661187E-01
  -0.3791000000     -5.70421417      0.5107611093E-01
  -0.3790000000     -5.70149303      0.5149539536E-01
  -0.3789000000     -5.69877189      0.5191410083E-01
  -0.3788000000     -5.69605076      0.5233184404E-01
  -0.3787000000     -5.69332962      0.5274822281E-01
  -0.3786000000     -5.69060848      0.5316281628E-01
  -0.3785000000     -5.68788734      0.5357518523E-01
  -0.3784000000     -5.68516620      0.5398487244E-01
  -0.3783000000     -5.68244506      0.5439140324E-01
  -0.3782000000     -5.67972393      0.5479428605E-01
  -0.3781000000     -5.67700279      0.5519301316E-01
  -0.3780000000     -5.67428165      0.5558706154E-01
  -0.3779000000     -5.67156051      0.5597589380E-01
